Day,Number.of.vehicles
14-Aug-04,104698
15-Aug-04,95419
16-Aug-04,109242
17-Aug-04,111144
18-Aug-04,115260
19-Aug-04,115954
20-Aug-04,124403
21-Aug-04,106952
22-Aug-04,97599
23-Aug-04,110270
24-Aug-04,109962
25-Aug-04,116264
26-Aug-04,117794
27-Aug-04,125895
28-Aug-04,110708
29-Aug-04,98450
30-Aug-04,109557
31-Aug-04,112652
01-Sep-04,116694
02-Sep-04,118102
03-Sep-04,127753
04-Sep-04,114241
05-Sep-04,107292
06-Sep-04,112399
07-Sep-04,112754
08-Sep-04,116836
09-Sep-04,117459
10-Sep-04,124446
11-Sep-04,106424
12-Sep-04,96428
13-Sep-04,110455
14-Sep-04,111297
15-Sep-04,115429
16-Sep-04,117379
17-Sep-04,126060
18-Sep-04,108396
19-Sep-04,94600
20-Sep-04,110453
21-Sep-04,111235
22-Sep-04,115786
23-Sep-04,116325
24-Sep-04,125499
25-Sep-04,108943
26-Sep-04,95014
27-Sep-04,109457
28-Sep-04,110607
29-Sep-04,113489
30-Sep-04,115233
01-Oct-04,123690
02-Oct-04,107136
03-Oct-04,96202
04-Oct-04,108771
05-Oct-04,110697
06-Oct-04,112265
07-Oct-04,114622
08-Oct-04,121097
09-Oct-04,103108
10-Oct-04,90222
11-Oct-04,110364
12-Oct-04,112331
13-Oct-04,116902
14-Oct-04,118468
15-Oct-04,124538
16-Oct-04,104944
17-Oct-04,90597
18-Oct-04,110163
19-Oct-04,110928
20-Oct-04,115333
21-Oct-04,116896
22-Oct-04,124059
23-Oct-04,104903
24-Oct-04,94564
25-Oct-04,110952
26-Oct-04,113071
27-Oct-04,118935
28-Oct-04,120356
29-Oct-04,129619
30-Oct-04,110459
31-Oct-04,95837
01-Nov-04,114727
02-Nov-04,111004
03-Nov-04,115475
04-Nov-04,116164
05-Nov-04,122436
06-Nov-04,102051
07-Nov-04,89408
08-Nov-04,109257
09-Nov-04,109222
10-Nov-04,114327
11-Nov-04,115775
12-Nov-04,121941
13-Nov-04,98781
14-Nov-04,91683
15-Nov-04,110950
16-Nov-04,111251
17-Nov-04,114939
18-Nov-04,118060
19-Nov-04,121682
20-Nov-04,99110
21-Nov-04,88473
22-Nov-04,109773
23-Nov-04,110716
24-Nov-04,114749
25-Nov-04,119085
26-Nov-04,126006
27-Nov-04,105812
28-Nov-04,92743
29-Nov-04,110123
30-Nov-04,112114
01-Dec-04,115702
02-Dec-04,117914
03-Dec-04,123787
04-Dec-04,102930
05-Dec-04,92930
06-Dec-04,110077
07-Dec-04,113405
08-Dec-04,118597
09-Dec-04,118173
10-Dec-04,123042
11-Dec-04,101572
12-Dec-04,90986
13-Dec-04,110925
14-Dec-04,112880
15-Dec-04,118018
16-Dec-04,119937
17-Dec-04,124286
18-Dec-04,99785
19-Dec-04,83675
20-Dec-04,106888
21-Dec-04,112024
22-Dec-04,115584
23-Dec-04,113159
24-Dec-04,96327
25-Dec-04,91214
26-Dec-04,89976
27-Dec-04,92187
28-Dec-04,92113
29-Dec-04,94076
30-Dec-04,96067
31-Dec-04,77596
01-Jan-05,67960
02-Jan-05,83327
03-Jan-05,91821
04-Jan-05,94312
05-Jan-05,100961
06-Jan-05,102582
07-Jan-05,109537
08-Jan-05,96266
09-Jan-05,81751
10-Jan-05,101816
11-Jan-05,104401
12-Jan-05,108275
13-Jan-05,110258
14-Jan-05,117427
15-Jan-05,94823
16-Jan-05,82146
17-Jan-05,106252
18-Jan-05,106606
19-Jan-05,107055
20-Jan-05,110016
21-Jan-05,117858
22-Jan-05,95417
23-Jan-05,77919
24-Jan-05,93752
25-Jan-05,98867
26-Jan-05,105962
27-Jan-05,108724
28-Jan-05,116543
29-Jan-05,98505
30-Jan-05,78339
31-Jan-05,101919
01-Feb-05,98135
02-Feb-05,101917
03-Feb-05,106061
04-Feb-05,116148
05-Feb-05,102001
06-Feb-05,77231
07-Feb-05,100356
08-Feb-05,102958
09-Feb-05,105418
10-Feb-05,107589
11-Feb-05,116802
12-Feb-05,103630
13-Feb-05,76094
14-Feb-05,97551
15-Feb-05,96739
16-Feb-05,100696
17-Feb-05,107179
18-Feb-05,115357
19-Feb-05,99149
20-Feb-05,80211
21-Feb-05,100679
22-Feb-05,101775
23-Feb-05,105425
24-Feb-05,110215
25-Feb-05,119054
26-Feb-05,104493
27-Feb-05,79274
28-Feb-05,104728
01-Mar-05,108108
02-Mar-05,110717
03-Mar-05,113472
04-Mar-05,120868
05-Mar-05,104436
06-Mar-05,82377
07-Mar-05,106022
08-Mar-05,104966
09-Mar-05,111765
10-Mar-05,116027
11-Mar-05,124189
12-Mar-05,108370
13-Mar-05,90511
14-Mar-05,109599
15-Mar-05,111848
16-Mar-05,118230
17-Mar-05,119382
18-Mar-05,128255
19-Mar-05,113087
20-Mar-05,95270
21-Mar-05,114051
22-Mar-05,116986
23-Mar-05,124493
24-Mar-05,127354
25-Mar-05,86171
26-Mar-05,97296
27-Mar-05,87922
28-Mar-05,90481
29-Mar-05,116328
30-Mar-05,121326
31-Mar-05,121118
01-Apr-05,129009
02-Apr-05,111132
03-Apr-05,96227
04-Apr-05,114573
05-Apr-05,115811
06-Apr-05,120461
07-Apr-05,120288
08-Apr-05,125310
09-Apr-05,103944
10-Apr-05,91469
11-Apr-05,112007
12-Apr-05,113554
13-Apr-05,116409
14-Apr-05,118531
15-Apr-05,123488
16-Apr-05,100044
17-Apr-05,87253
18-Apr-05,110889
19-Apr-05,113771
20-Apr-05,117451
21-Apr-05,119250
22-Apr-05,126197
23-Apr-05,104666
24-Apr-05,91595
25-Apr-05,112708
26-Apr-05,115921
27-Apr-05,120044
28-Apr-05,122071
29-Apr-05,129401
30-Apr-05,107166
01-May-05,94934
02-May-05,113264
03-May-05,115493
04-May-05,126497
05-May-05,81910
06-May-05,108995
07-May-05,97762
08-May-05,103213
09-May-05,112913
10-May-05,114948
11-May-05,119588
12-May-05,119355
13-May-05,129633
14-May-05,101264
15-May-05,87722
16-May-05,86177
17-May-05,117634
18-May-05,120835
19-May-05,121769
20-May-05,128446
21-May-05,105411
22-May-05,90105
23-May-05,115380
24-May-05,117490
25-May-05,124565
26-May-05,115479
27-May-05,128042
28-May-05,106940
29-May-05,98251
30-May-05,115084
31-May-05,116572
01-Jun-05,119382
02-Jun-05,120566
03-Jun-05,127596
04-Jun-05,105138
05-Jun-05,96391
06-Jun-05,113115
07-Jun-05,116348
08-Jun-05,120433
09-Jun-05,121204
10-Jun-05,129282
11-Jun-05,107096
12-Jun-05,97622
13-Jun-05,115042
14-Jun-05,116187
15-Jun-05,121635
16-Jun-05,124340
17-Jun-05,131031
18-Jun-05,108944
19-Jun-05,98758
20-Jun-05,115087
21-Jun-05,115261
22-Jun-05,123895
23-Jun-05,123366
24-Jun-05,128982
25-Jun-05,107271
26-Jun-05,95851
27-Jun-05,116698
28-Jun-05,115929
29-Jun-05,121116
30-Jun-05,125353
01-Jul-05,133250
02-Jul-05,109585
03-Jul-05,96375
04-Jul-05,113769
05-Jul-05,116471
06-Jul-05,117421
07-Jul-05,119848
08-Jul-05,125162
09-Jul-05,102040
10-Jul-05,93008
11-Jul-05,112064
12-Jul-05,111813
13-Jul-05,114745
14-Jul-05,116090
15-Jul-05,122300
16-Jul-05,101013
17-Jul-05,89492
18-Jul-05,111071
19-Jul-05,107705
20-Jul-05,108943
21-Jul-05,110562
22-Jul-05,116944
23-Jul-05,97075
24-Jul-05,84374
25-Jul-05,103595
26-Jul-05,104704
27-Jul-05,106882
28-Jul-05,107520
29-Jul-05,116673
30-Jul-05,100699
31-Jul-05,84502
01-Aug-05,72614
02-Aug-05,110359
03-Aug-05,110603
04-Aug-05,113722
05-Aug-05,119009
06-Aug-05,102012
07-Aug-05,90521
08-Aug-05,111027
09-Aug-05,113565
10-Aug-05,118494
11-Aug-05,118515
12-Aug-05,129253
13-Aug-05,110948
14-Aug-05,100364
15-Aug-05,116032
16-Aug-05,116287
17-Aug-05,120706
18-Aug-05,121582
19-Aug-05,130141
20-Aug-05,112162
21-Aug-05,95294
22-Aug-05,114273
23-Aug-05,119640
24-Aug-05,123666
25-Aug-05,128274
26-Aug-05,139840
27-Aug-05,122379
28-Aug-05,104101
29-Aug-05,116825
30-Aug-05,117562
31-Aug-05,119893
01-Sep-05,121723
02-Sep-05,127877
03-Sep-05,113551
04-Sep-05,98545
05-Sep-05,114681
06-Sep-05,114318
07-Sep-05,118455
08-Sep-05,120824
09-Sep-05,128273
10-Sep-05,108605
11-Sep-05,96555
12-Sep-05,113244
13-Sep-05,114575
14-Sep-05,116712
15-Sep-05,120260
16-Sep-05,127790
17-Sep-05,109287
18-Sep-05,92052
19-Sep-05,112624
20-Sep-05,115000
21-Sep-05,119110
22-Sep-05,120223
23-Sep-05,126570
24-Sep-05,111370
25-Sep-05,98189
26-Sep-05,113779
27-Sep-05,115827
28-Sep-05,122445
29-Sep-05,121893
30-Sep-05,131419
01-Oct-05,111808
02-Oct-05,93627
03-Oct-05,113190
04-Oct-05,111446
05-Oct-05,113284
06-Oct-05,115066
07-Oct-05,121956
08-Oct-05,103183
09-Oct-05,94668
10-Oct-05,110714
11-Oct-05,112019
12-Oct-05,113990
13-Oct-05,116613
14-Oct-05,121966
15-Oct-05,104734
16-Oct-05,93587
17-Oct-05,112944
18-Oct-05,114643
19-Oct-05,118033
20-Oct-05,121717
21-Oct-05,127012
22-Oct-05,103776
23-Oct-05,89657
24-Oct-05,113247
25-Oct-05,116713
26-Oct-05,121010
27-Oct-05,123814
28-Oct-05,132332
29-Oct-05,112413
30-Oct-05,97626
31-Oct-05,116393
01-Nov-05,117629
02-Nov-05,117854
03-Nov-05,122053
04-Nov-05,126866
05-Nov-05,107386
06-Nov-05,98226
07-Nov-05,113398
08-Nov-05,113682
09-Nov-05,116443
10-Nov-05,119386
11-Nov-05,126650
12-Nov-05,104646
13-Nov-05,94424
14-Nov-05,112165
15-Nov-05,114296
16-Nov-05,114690
