"Date","Store","Dept","Weekly_Sales","IsHoliday","Week.No"
2011-02-18,1,5,31092.62,FALSE,55
2011-02-25,1,5,23870.31,FALSE,56
2011-03-04,1,5,28902.37,FALSE,57
2011-03-11,1,5,23704.37,FALSE,58
2011-03-18,1,5,22685.69,FALSE,59
2011-03-25,1,5,18719.22,FALSE,60
2011-04-01,1,5,23598.55,FALSE,61
2011-04-08,1,5,22393.09,FALSE,62
2011-04-15,1,5,22719.82,FALSE,63
2011-04-22,1,5,21786.16,FALSE,64
2011-04-29,1,5,17503.28,FALSE,65
2011-05-06,1,5,16195.54,FALSE,66
2011-05-13,1,5,15587.78,FALSE,67
2011-05-20,1,5,15575.25,FALSE,68
2011-05-27,1,5,16613.98,FALSE,69
2011-06-03,1,5,16848.76,FALSE,70
2011-06-10,1,5,18648.73,FALSE,71
2011-06-17,1,5,17861.56,FALSE,72
2011-06-24,1,5,21695.24,FALSE,73
2011-07-01,1,5,19239.86,FALSE,74
2011-07-08,1,5,17989.45,FALSE,75
2011-07-15,1,5,18444.8,FALSE,76
2011-07-22,1,5,19331.53,FALSE,77
2011-07-29,1,5,17406.68,FALSE,78
2011-08-05,1,5,21183.42,FALSE,79
2011-08-12,1,5,21320.93,FALSE,80
2011-08-19,1,5,18643.51,FALSE,81
2011-08-26,1,5,15478.26,FALSE,82
2011-09-02,1,5,20432.91,FALSE,83
2011-09-09,1,5,19075.78,TRUE,84
2011-09-16,1,5,19386.23,FALSE,85
2011-09-23,1,5,20562.37,FALSE,86
2011-09-30,1,5,16385.37,FALSE,87
2011-10-07,1,5,30352.06,FALSE,88
2011-10-14,1,5,22917.89,FALSE,89
2011-10-21,1,5,32700.34,FALSE,90
2011-10-28,1,5,26391.79,FALSE,91
2011-11-04,1,5,31956.07,FALSE,92
2011-11-11,1,5,31002.65,FALSE,93
2011-11-18,1,5,27339.37,FALSE,94
2011-11-25,1,5,79340.15,TRUE,95
2011-12-02,1,5,32572.27,FALSE,96
2011-12-09,1,5,41782.13,FALSE,97
2011-12-16,1,5,43479.7,FALSE,98
2011-12-23,1,5,61483.82,FALSE,99
2011-12-30,1,5,34981.76,TRUE,100
2012-01-06,1,5,23105.81,FALSE,101
2012-01-13,1,5,19281.61,FALSE,102
2012-01-20,1,5,19298.42,FALSE,103
2012-01-27,1,5,21376.42,FALSE,104
2012-02-03,1,5,28307.43,FALSE,105
2012-02-10,1,5,38096.04,TRUE,106
2012-02-17,1,5,46219.96,FALSE,107
2012-02-24,1,5,30797.88,FALSE,108
2012-03-02,1,5,30642.53,FALSE,109
2012-03-09,1,5,25492.21,FALSE,110
2012-03-16,1,5,29345.72,FALSE,111
2012-03-23,1,5,25442.13,FALSE,112
2012-03-30,1,5,22392.09,FALSE,113
2012-04-06,1,5,28386.81,FALSE,114
2012-04-13,1,5,18458.33,FALSE,115
2012-04-20,1,5,16645.01,FALSE,116
2012-04-27,1,5,17170.39,FALSE,117
2012-05-04,1,5,18953.07,FALSE,118
2012-05-11,1,5,17277.63,FALSE,119
2012-05-18,1,5,17955.73,FALSE,120
2012-05-25,1,5,18625.67,FALSE,121
2012-06-01,1,5,17233.25,FALSE,122
2012-06-08,1,5,24752.99,FALSE,123
2012-06-15,1,5,21376.63,FALSE,124
2012-06-22,1,5,24337.24,FALSE,125
2012-06-29,1,5,20233.9,FALSE,126
2012-07-06,1,5,19684.48,FALSE,127
2012-07-13,1,5,18089.61,FALSE,128
2012-07-20,1,5,17896.46,FALSE,129
2012-07-27,1,5,14105.4,FALSE,130
2012-08-03,1,5,17615.28,FALSE,131
2012-08-10,1,5,18232.46,FALSE,132
2012-08-17,1,5,15440.65,FALSE,133
2012-08-24,1,5,22446.23,FALSE,134
2012-08-31,1,5,18615.76,FALSE,135
2012-09-07,1,5,18236.15,TRUE,136
2012-09-14,1,5,19369.52,FALSE,137
2012-09-21,1,5,25798.78,FALSE,138
2012-09-28,1,5,22560.39,FALSE,139
2012-10-05,1,5,25508.81,FALSE,140
2012-10-12,1,5,20920.03,FALSE,141
2012-10-19,1,5,20413.83,FALSE,142
2012-10-26,1,5,25846.94,FALSE,143
2012-11-02,1,5,NA,FALSE,144
2012-11-09,1,5,NA,FALSE,145
2012-11-16,1,5,NA,FALSE,146
2012-11-23,1,5,NA,TRUE,147
2012-11-30,1,5,NA,FALSE,148
2012-12-07,1,5,NA,FALSE,149
2012-12-14,1,5,NA,FALSE,150
2012-12-21,1,5,NA,FALSE,151
2012-12-28,1,5,NA,TRUE,152
2013-01-04,1,5,NA,FALSE,153
2013-01-11,1,5,NA,FALSE,154
2013-01-18,1,5,NA,FALSE,155
2013-01-25,1,5,NA,FALSE,156
2013-02-01,1,5,NA,FALSE,157
2013-02-08,1,5,NA,TRUE,158
2013-02-15,1,5,NA,FALSE,159
2013-02-22,1,5,NA,FALSE,160
2013-03-01,1,5,NA,FALSE,161
2013-03-08,1,5,NA,FALSE,162
2013-03-15,1,5,NA,FALSE,163
2013-03-22,1,5,NA,FALSE,164
2013-03-29,1,5,NA,FALSE,165
2013-04-05,1,5,NA,FALSE,166
2013-04-12,1,5,NA,FALSE,167
2013-04-19,1,5,NA,FALSE,168
2013-04-26,1,5,NA,FALSE,169
2013-05-03,1,5,NA,FALSE,170
2013-05-10,1,5,NA,FALSE,171
2013-05-17,1,5,NA,FALSE,172
2013-05-24,1,5,NA,FALSE,173
2013-05-31,1,5,NA,FALSE,174
2013-06-07,1,5,NA,FALSE,175
2013-06-14,1,5,NA,FALSE,176
2013-06-21,1,5,NA,FALSE,177
2013-06-28,1,5,NA,FALSE,178
2013-07-05,1,5,NA,FALSE,179
2013-07-12,1,5,NA,FALSE,180
2013-07-19,1,5,NA,FALSE,181
2013-07-26,1,5,NA,FALSE,182
